"","Trial","correct","faceVal","houseVal","mult1House","mult2Face","summedVal","earnings","selection","rt","flip","participant","subject","finalEarnings","accuracy"
"231",20,1,-0.62,0.2,1,1,-0.42,-1.7,"['j']",1.65948932337778,NA,2,2,13.36,0.79
"241",21,1,0.22,0.3,1,1,0.52,-1.18,"['f']",1.40701377389632,NA,2,2,13.36,0.79
"251",22,1,-0.12,0.9,1,1,0.78,-0.4,"['f']",1.77594568438508,NA,2,2,13.36,0.79
"261",23,1,0.24,0.66,1,1,0.9,0.5,"['f']",1.45565734075353,NA,2,2,13.36,0.79
"271",24,1,-0.52,-0.54,1,1,-1.06,0.5,"['j']",1.43265066246386,NA,2,2,13.36,0.79
"281",25,1,0.34,0.38,1,1,0.72,1.22,"['f']",2.45953234897024,NA,2,2,13.36,0.79
"291",26,1,0.72,0,1,1,0.72,1.94,"['f']",1.37124904341908,NA,2,2,13.36,0.79
"301",27,1,0.18,0.4,1,1,0.58,2.52,"['f']",1.42234615117923,NA,2,2,13.36,0.79
"311",28,1,0.74,0.4,1,1,1.14,3.66,"['f']",1.74421280125534,NA,2,2,13.36,0.79
"321",29,1,-1,0.56,1,1,-0.44,3.66,"['j']",1.30509597983473,NA,2,2,13.36,0.79
"331",30,0,0.28,-0.5,1,1,-0.22,3.44,"['f']",1.11166074914217,NA,2,2,13.36,0.79
"341",31,0,-0.04,0.22,1,1,0.18,3.26,"['j']",2.03931764761364,NA,2,2,13.36,0.79
"351",32,0,-0.3,-0.46,1,1,-0.76,2.5,"['f']",2.27123375009978,NA,2,2,13.36,0.79
"361",33,1,-0.64,0.02,1,1,-0.62,2.5,"['j']",1.3184206960359,NA,2,2,13.36,0.79
"371",34,1,-0.8,0.4,1,1,-0.4,2.5,"['j']",3.36060922087927,NA,2,2,13.36,0.79
"381",35,1,0.48,-0.4,1,1,0.08,2.58,"['f']",1.44586631236598,NA,2,2,13.36,0.79
"391",36,1,-0.9,-0.34,1,1,-1.24,2.58,"['j']",1.43101677127561,NA,2,2,13.36,0.79
"401",37,1,-1,-0.32,1,1,-1.32,2.58,"['j']",2.5117408512815,NA,2,2,13.36,0.79
"411",38,1,-0.06,0.62,1,1,0.56,3.14,"['f']",1.15271834966552,NA,2,2,13.36,0.79
"421",39,1,-0.86,0.08,1,1,-0.78,3.14,"['j']",1.55797955142043,NA,2,2,13.36,0.79
"431",40,0,0.6,-0.96,1,1,-0.36,2.78,"['f']",1.43295743019553,NA,2,2,13.36,0.79
"441",41,1,-0.34,-0.84,1,1,-1.18,2.78,"['j']",2.11477770156489,NA,2,2,13.36,0.79
"451",42,0,-0.54,0.76,1,1,0.22,2.56,"['j']",1.47939833864802,NA,2,2,13.36,0.79
"461",43,1,0.9,-0.24,1,1,0.66,3.22,"['f']",1.11075306519342,NA,2,2,13.36,0.79
"471",44,0,0.3,0.84,1,1,1.14,2.08,"['j']",4.29407487596472,NA,2,2,13.36,0.79
"481",45,1,0.7,-0.22,1,1,0.48,2.56,"['f']",1.73276654915389,NA,2,2,13.36,0.79
"491",46,1,0.68,0.66,1,1,1.34,3.9,"['f']",1.98254939306207,NA,2,2,13.36,0.79
"501",47,1,-0.4,-0.94,1,1,-1.34,3.9,"['j']",2.39452763628651,NA,2,2,13.36,0.79
"511",48,1,0.1,-0.54,1,1,-0.44,3.9,"['j']",1.8082326122676,NA,2,2,13.36,0.79
"521",49,1,-0.96,-0.88,1,1,-1.84,3.9,"['j']",1.08984899275674,NA,2,2,13.36,0.79
"531",50,1,0,0.22,1,1,0.22,4.12,"['f']",3.93612741346442,NA,2,2,13.36,0.79
"541",51,1,-0.44,-0.56,1,1,-1,4.12,"['j']",1.34794731527654,NA,2,2,13.36,0.79
"551",52,1,-0.84,0.58,1,1,-0.26,4.12,"['j']",1.55553562517161,NA,2,2,13.36,0.79
"561",53,1,0.24,0.56,1,1,0.8,4.92,"['f']",1.44914070483355,NA,2,2,13.36,0.79
"571",54,1,0.28,-0.24,1,1,0.04,4.96,"['f']",2.05884592237999,NA,2,2,13.36,0.79
"581",55,1,-0.64,0.14,1,1,-0.5,4.96,"['j']",1.87094302682817,NA,2,2,13.36,0.79
"591",56,0,0.38,-0.84,1,1,-0.46,4.5,"['f']",1.73827935453301,NA,2,2,13.36,0.79
"601",57,1,0.62,-0.42,1,1,0.2,4.7,"['f']",1.32729893268697,NA,2,2,13.36,0.79
"611",58,1,-0.88,-0.96,1,1,-1.84,4.7,"['j']",1.1947800811904,NA,2,2,13.36,0.79
"621",59,1,0.26,0.78,1,1,1.04,5.74,"['f']",1.726169991387,NA,2,2,13.36,0.79
"631",60,1,0.54,-0.14,1,1,0.4,6.14,"['f']",1.66330514134461,NA,2,2,13.36,0.79
"641",61,1,0.2,-0.04,1,1,0.16,6.3,"['f']",1.58710836412502,NA,2,2,13.36,0.79
"651",62,1,-0.38,0.32,1,1,-0.06,6.3,"['j']",1.67850892255956,NA,2,2,13.36,0.79
"661",63,1,0.76,-0.54,1,1,0.22,6.52,"['f']",1.24487546161981,NA,2,2,13.36,0.79
"671",64,0,-0.92,0.96,1,1,0.04,6.48,"['j']",2.26885051638237,NA,2,2,13.36,0.79
"681",65,1,-0.1,-0.34,1,1,-0.44,6.48,"['j']",2.10086589022103,NA,2,2,13.36,0.79
"691",66,0,-0.26,-0.2,1,1,-0.46,6.02,"['f']",4.78060338598152,NA,2,2,13.36,0.79
"701",67,1,0.68,-0.54,1,1,0.14,6.16,"['f']",1.45337776507222,NA,2,2,13.36,0.79
"711",68,1,0.88,0.96,1,1,1.84,8,"['f']",1.1555210229053,NA,2,2,13.36,0.79
