"parcode","trial","rt","choice","face_val_tot","house_val_tot","face_mult","house_mult","face_bin","house_bin","face_bin_val","house_bin_val"
151,61,1602.02128308,-1,-0.76,-0.96,1,1,2,1,-0.72,-1.42
151,62,1735.39676153,-1,-0.052,-2.58,0.1,3,4,1,-0.1,-1.42
151,63,2719.89581102,-1,-9.2,0.018,10,0.1,0,5,0,0
151,64,1201.8446702,1,0.06,0.09,0.1,0.1,6,6,0.12,0.12
151,65,1500.6121959,1,-0.08,2.8,1,10,4,9,-0.1,1.52
151,66,5139.05214948,-1,-0.32,-0.78,1,1,3,2,-0.375,-0.72
151,67,1718.84508754,1,0.22,-0.1,0.5,0.5,6,4,0.12,-0.1
151,68,6957.17302804,1,-0.01,-0.064,0.5,0.1,5,4,0,-0.1
151,69,2585.99391921,-1,-1.2,0.41,3,0.5,1,7,-1.42,0.39
151,70,2169.11930624,1,0.2,0.042,1,0.1,6,5,0.12,0
151,71,5338.84224515,1,1.52,0.92,2,2,9,8,1.52,0.72
151,72,2135.76507061,1,0.48,-0.04,1,2,7,5,0.39,0
151,73,3136.74248081,1,-0.058,1.56,0.1,2,4,9,-0.1,1.52
151,74,2036.4042482,1,0.5,1.32,1,3,7,9,0.39,1.52
151,75,2035.47130672,1,0.096,4,0.1,10,6,99,0.12,99
151,76,3470.25599254,-1,-5.4,0.88,10,1,0,8,0,0.72
151,77,2102.56377128,-1,-0.96,-0.36,1,2,1,3,-1.42,-0.375
151,78,2936.48666555,1,9,0.032,10,0.1,99,5,99,0
151,79,2519.34824498,1,0.68,0.76,1,1,8,8,0.72,0.72
151,80,3470.33982206,-1,0.64,-0.74,1,1,8,2,0.72,-0.72
151,81,1618.45066813,1,0.12,8.6,0.5,10,6,99,0.12,99
151,82,1368.1918933,-1,-1.32,-1.28,3,2,1,1,-1.42,-1.42
151,83,1868.82452077,1,0.41,0.14,0.5,1,7,6,0.39,0.12
151,85,3270.14680382,1,-0.68,0.52,1,1,2,7,-0.72,0.39
151,86,4504.70361756,-1,-0.42,-1.74,1,3,3,1,-0.375,-1.42
151,87,1167.91744925,-1,-0.058,-0.44,0.1,0.5,4,3,-0.1,-0.375
151,88,2035.6882419,1,0.64,-0.37,2,0.5,8,3,0.72,-0.375
151,89,2569.44795403,1,-0.006,-0.02,0.1,0.5,5,5,0,0
151,90,6056.30459623,-1,0.38,-0.23,0.5,0.5,7,3,0.39,-0.375
151,92,5472.32228516,-1,-1.6,-1.38,10,3,1,1,-1.42,-1.42
151,93,2052.35138813,1,0.84,0.48,2,2,8,7,0.72,0.39
151,94,3170.33919109,-1,0.96,-5,3,10,9,0,1.52,0
151,95,3220.62338519,-1,-0.08,-0.96,0.5,2,4,1,-0.1,-1.42
151,96,1368.64198874,1,0.6,1.8,2,2,8,9,0.72,1.52
151,97,3086.7389203,-1,0.66,-2.2,3,10,8,1,0.72,-1.42
151,98,2918.43988146,-1,0.02,0.06,1,1,5,6,0,0.12
151,99,1735.2071686,1,0.28,0.46,1,1,7,7,0.39,0.39
151,100,3236.62460869,-1,-2.76,-0.33,3,0.5,0,3,0,-0.375
156,1,9225.90334475,-1,0.96,-6.4,3,10,9,0,1.52,0
156,2,6139.76387534,1,0.8,0.6,1,1,8,8,0.72,0.72
156,3,7607.44681428,-1,-1,-0.1,1,1,1,4,-1.42,-0.1
156,4,5272.16169977,1,0.05,1.56,0.1,3,5,9,0,1.52
156,5,4588.35745716,-1,-3.4,-4.8,10,10,0,0,0,0
156,6,7841.40245811,1,0.03,0.03,0.1,0.1,5,5,0,0
156,7,2686.45909763,-1,-2.2,-0.56,10,2,1,2,-1.42,-0.72
156,8,4321.23174937,1,0.38,0.88,1,1,7,8,0.39,0.72
156,9,7289.76799164,1,0.34,-1.38,0.5,3,7,1,0.39,-1.42
156,10,2503.13078193,-1,0.02,-0.12,1,1,5,4,0,-0.1
156,11,4771.39823366,-1,-0.48,0,2,0.1,3,5,-0.375,0
156,12,3153.31276992,1,-0.11,2.34,0.5,3,4,9,-0.1,1.52
156,13,5188.63652341,1,-1.8,4.6,2,10,1,99,-1.42,99
156,15,3119.6670795,1,0.034,0.014,0.1,0.1,5,5,0,0
156,16,3686.98640305,-1,-0.92,-0.18,1,1,2,4,-0.72,-0.1
156,17,7741.01582757,-1,-5,-1.4,10,10,0,1,0,-1.42
156,18,2519.40123344,-1,-0.9,0.26,1,1,2,7,-0.72,0.39
156,19,6122.9715267,-1,-2.04,-0.2,3,1,1,4,-1.42,-0.1
156,20,7307.1152879,1,0.12,-0.82,1,1,6,2,0.12,-0.72
156,21,3603.78391956,-1,-1.76,0.34,2,1,1,7,-1.42,0.39
156,22,9559.66272883,-1,-7,0.54,10,3,0,8,0,0.72
