,parcode,trial,fix_item,fix_time,fix_num,rev_fix_num
164,1,49,1,1400.40944171778,1,4
165,1,49,2,866.447589069139,2,3
166,1,49,1,266.640763467876,3,2
167,1,49,2,400.182910845615,4,1
168,1,50,2,533.523086531204,1,7
169,1,50,1,683.347598431283,2,6
170,1,50,2,4349.96343616513,3,5
171,1,50,1,549.9634361476641,4,4
172,1,50,2,666.6213360585971,5,3
173,1,50,1,750.054341755458,6,2
174,1,50,2,1099.83046840352,7,1
175,1,51,1,583.8067083241191,1,3
176,1,51,2,716.6978543682491,2,2
177,1,51,1,549.697683920385,3,1
178,1,52,1,983.524094568565,1,4
179,1,52,2,699.9987170565871,2,3
180,1,52,1,433.181274187518,3,2
181,1,52,2,433.464987596381,4,1
182,1,53,2,1233.39680839854,1,2
183,1,53,1,983.4665454545759,2,1
184,1,54,1,1233.51447249297,1,3
185,1,54,2,833.327529559028,2,2
186,1,54,1,400.01906084944505,3,1
187,1,55,2,1117.15421509871,1,2
188,1,55,1,1049.74625243631,2,1
189,1,56,1,883.379488703213,1,3
190,1,56,2,1233.46718691755,2,2
191,1,56,1,1299.84439749387,3,1
192,1,57,1,600.0678126438289,1,2
193,1,57,2,850.1912499777969,2,1
194,1,58,2,1833.5390316642602,1,6
195,1,58,1,1016.6441540932301,2,5
196,1,58,2,733.6128924653169,3,4
197,1,58,1,649.7209601511711,4,3
198,1,58,2,1249.94089304528,5,2
199,1,58,1,900.0372053124009,6,1
200,1,59,2,616.719297831878,1,2
201,1,59,1,1266.6484611108901,2,1
202,1,60,1,633.594381448347,1,2
203,1,60,2,1683.1327973050102,2,1
204,1,61,2,1333.5300510807401,1,3
205,1,61,1,2349.96820136439,2,2
206,1,61,2,1916.6450704797198,3,1
207,1,62,1,1083.5290430550199,1,2
208,1,62,2,633.1955698115049,2,1
209,1,63,1,683.396350214025,1,3
210,1,63,2,933.697200074675,2,2
211,1,63,1,549.7794256516501,3,1
212,1,64,2,1250.08311630518,1,3
213,1,64,1,783.364643226378,2,2
214,1,64,2,450.090813959832,3,1
215,1,65,1,516.876000008779,1,2
216,1,65,2,1366.6629400249801,2,1
217,1,67,1,1183.5457213019301,1,3
218,1,67,2,1049.99550970388,2,2
219,1,67,1,483.17825009871694,3,1
220,1,68,1,1450.16339181166,1,5
221,1,68,2,883.272454695543,2,4
222,1,68,1,866.697579447646,3,3
223,1,68,2,749.830376764294,4,2
224,1,68,1,1216.6793433571002,5,1
225,1,69,2,483.75630703230905,1,3
226,1,69,1,916.294277529232,2,2
227,1,69,2,433.471219032072,3,1
228,1,70,2,1183.5662483645099,1,3
229,1,70,1,1099.98038932099,2,2
230,1,70,2,1833.1717437540601,3,1
231,1,71,2,616.891578596551,1,3
232,1,71,1,1266.58504712395,2,2
233,1,71,2,1049.89067502902,3,1
234,1,72,1,500.19885598158,1,2
235,1,72,2,833.3095683628931,2,1
236,1,74,1,1333.53591595369,1,2
237,1,74,2,983.3224894246091,2,1
238,1,75,2,750.072302937042,1,4
239,1,75,1,816.8270649475741,2,3
240,1,75,2,883.316074701725,3,2
241,1,75,1,533.322581060929,4,1
242,1,76,2,416.879115728079,1,2
