,choice,correct,earnings,face_mult,face_val_base,first_image,house_mult,house_val_base,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial,face_val_total,house_val_total
27,0.0,1.0,3.31,2.0,-0.94,0.0,0.1,0.52,"[0, 1, 0, 1]","['space', 'space', 'space', 'j']",1.0,4.0,124,0.0,5.38346952212,"[2.083584181673359, 3.0169441760517657, 4.350277265009936, 5.3834695221157745]",-1.828,28.0,-1.88,0.052
28,0.0,1.0,3.31,10.0,-0.62,0.0,3.0,-0.06,"[0, 1, 0, 1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'space', 'space', 'space', 'j']",1.0,8.0,124,0.0,8.68347142822,"[0.8669776795140933, 2.5335998703958467, 3.233457205744344, 3.8500954518967774, 4.516951873782091, 5.666799605300184, 7.116942856431706, 8.683471428215853]",-6.38,29.0,-6.2,-0.18
29,0.0,1.0,3.31,0.5,-0.72,1.0,0.5,-0.8,"[1, 0, 1, 0]","['space', 'space', 'space', 'j']",0.0,4.0,124,0.0,4.06694205001,"[1.2669309799239272, 2.1502476470632246, 3.050117005535867, 4.066942050005309]",-0.76,30.0,-0.36,-0.4
30,1.0,1.0,3.31,1.0,-0.5,1.0,1.0,0.5,"[1, 0, 1]","['space', 'space', 'f']",1.0,3.0,124,0.0,3.5501342338,"[1.2836126999318367, 2.15025901037734, 3.5501342337956885]",0.0,31.0,-0.5,0.5
31,0.0,1.0,3.31,1.0,0.54,1.0,10.0,-0.2,"[1, 0, 1]","['space', 'space', 'j']",1.0,3.0,124,0.0,7.85015666719,"[4.916959791444242, 6.216817273409106, 7.850156667191186]",-1.46,32.0,0.54,-2.0
32,1.0,0.0,2.53,2.0,0.0,1.0,1.0,-0.78,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,4.30030175112,"[2.083657859970117, 4.300301751121879]",-0.78,33.0,0.0,-0.78
33,0.0,1.0,2.53,1.0,-0.44,0.0,1.0,-0.22,"[0, 1, 0]","['space', 'space', 'j']",0.0,3.0,124,0.0,3.70027557884,"[0.5835907797300024, 1.4502528521989007, 3.7002755788416835]",-0.66,34.0,-0.44,-0.22
34,0.0,0.0,2.512,0.5,0.22,0.0,0.1,-0.92,"[0, 1, 0, 1]","['space', 'space', 'space', 'j']",1.0,4.0,124,0.0,3.88359011992,"[0.9835671733453637, 2.633446428910247, 3.0835640209406847, 3.8835901199199725]",0.018,35.0,0.11,-0.092
35,0.0,1.0,2.512,1.0,-0.96,0.0,2.0,-0.9,"[0, 1, 0]","['space', 'space', 'j']",0.0,3.0,124,0.0,4.01680085158,"[2.5502724264224526, 3.3169398506433936, 4.016800851575681]",-2.76,36.0,-0.96,-1.8
36,1.0,1.0,10.832,3.0,0.24,0.0,10.0,0.76,"[0, 1]","['space', 'f']",1.0,2.0,124,0.0,3.63360624851,"[0.7335931990237441, 3.633606248506112]",8.32,37.0,0.72,7.6
37,0.0,0.0,10.202,0.5,-0.9,0.0,2.0,0.54,"[0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'j']",0.0,5.0,124,0.0,5.45013152125,"[1.2335986973921536, 2.150119718062342, 2.833448188393959, 3.9836243565077893, 5.4501315212546615]",0.63,38.0,-0.45,1.08
38,1.0,1.0,15.202,10.0,-0.34,1.0,10.0,0.84,"[1, 0, 1]","['space', 'space', 'f']",1.0,3.0,124,0.0,4.38346805588,"[2.46693090662302, 3.5501342337956885, 4.383468055879348]",5.0,39.0,-3.4,8.4
39,1.0,0.0,14.302,1.0,-0.76,0.0,1.0,-0.14,"[0, 1, 0]","['space', 'space', 'f']",0.0,3.0,124,0.0,6.21694446928,"[1.666936331690522, 2.833590046619065, 6.216944469284499]",-0.9,40.0,-0.76,-0.14
40,1.0,1.0,15.422,2.0,-0.04,0.0,2.0,0.6,"[0, 1, 0]","['space', 'space', 'f']",0.0,3.0,124,0.0,3.95024991971,"[1.8000939123303397, 3.2167560581146972, 3.9502499197114957]",1.12,41.0,-0.08,1.2
41,0.0,1.0,15.422,0.5,-0.5,0.0,3.0,-0.14,"[0, 1, 0, 1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'space', 'space', 'space', 'j']",1.0,8.0,124,0.0,8.18362574943,"[0.6502436149021378, 1.6501105540955905, 2.5335687128972495, 3.250114732873044, 3.916787142283283, 4.40025094608427, 4.933453466830542, 8.183625749428757]",-0.67,42.0,-0.25,-0.42
42,0.0,1.0,15.422,0.1,-0.44,0.0,0.5,-0.48,"[0, 1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'space', 'j']",1.0,6.0,124,0.0,6.7169221092,"[0.5669193233625265, 1.4669360384286847, 2.16678054422664, 2.5669083265966037, 3.800267294602236, 6.716922109204461]",-0.284,43.0,-0.044,-0.24
43,0.0,0.0,14.322,3.0,0.7,1.0,10.0,-0.1,"[1, 0, 1]","['space', 'space', 'j']",1.0,3.0,124,0.0,3.91694512909,"[0.9669316397339571, 2.0502801241527777, 3.916945129094529]",1.1,44.0,2.1,-1.0
