,correct,earnings,face_mult,face_val,first_image,house_mult,house_val,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial
691,0.0,2.25,3.0,-0.75,0.0,3.0,0.25,[0],['f'],0.0,1.0,117,0.0,1.40011715216,[1.4001171521613287],-1.5,92.0
692,1.0,2.25,2.0,-1.0,1.0,2.0,-0.25,[1],['j'],1.0,1.0,117,0.0,0.750315607043,[0.7503156070433761],-2.5,93.0
693,0.0,0.5,1.0,1.0,1.0,1.0,0.75,[1],['j'],1.0,1.0,117,0.0,2.26697276762,[2.2669727676202456],1.75,94.0
694,1.0,2.0,1.0,0.5,1.0,1.0,1.0,[1],['f'],1.0,1.0,117,0.0,1.51697679977,[1.5169767997667805],1.5,95.0
695,0.0,0.0,2.0,0.5,1.0,3.0,-1.0,[1],['f'],1.0,1.0,117,0.0,1.45025871713,[1.4502587171318737],-2.0,96.0
696,0.0,-1.5,1.0,0.0,1.0,2.0,0.75,[1],['j'],1.0,1.0,117,0.0,1.45027704507,[1.450277045069015],1.5,97.0
697,1.0,-1.5,3.0,-0.25,0.0,1.0,-1.0,[0],['j'],0.0,1.0,117,0.0,12.8672298719,[12.867229871895688],-1.75,98.0
698,1.0,2.25,3.0,1.0,0.0,3.0,0.25,[0],['f'],0.0,1.0,117,0.0,4.11694725514,[4.116947255135528],3.75,99.0
699,1.0,2.25,1.0,-0.75,1.0,3.0,-0.5,[1],['j'],1.0,1.0,117,0.0,6.03365265484,[6.033652654838079],-2.25,100.0
700,1.0,4.5,1.0,0.0,0.0,3.0,0.75,[0],['f'],0.0,1.0,117,1.0,9.10015593407,[9.100155934072973],2.25,1.0
701,0.0,2.75,1.0,1.0,1.0,1.0,0.75,[1],['j'],1.0,1.0,117,1.0,10.1170682195,[10.117068219506109],1.75,2.0
702,0.0,2.0,3.0,-0.5,1.0,3.0,0.75,[1],['j'],1.0,1.0,117,1.0,2.21678464969,[2.216784649694091],0.75,3.0
703,1.0,6.0,3.0,1.0,1.0,1.0,1.0,[1],['f'],1.0,1.0,117,1.0,2.15063509961,[2.1506350996096444],4.0,4.0
704,0.0,4.5,2.0,0.75,0.0,3.0,-1.0,[0],['f'],0.0,1.0,117,1.0,15.4503554886,[15.450355488628702],-1.5,5.0
